threads,version,luts,regs,bram,dsp,slack,cycles,crit,time
3,7,3274,3087,20,0,-10.622,101889,11.622,1184.154
4,7,3752,3558,24,0,-10.522,124907,11.522,1439.178
5,7,4228,4028,28,0,-10.916,154900,11.916,1845.788
6,7,4712,4502,32,0,-12.441,201778,13.441,2712.098
7,7,5289,4972,36,0,-12.381,253274,13.381,3389.059
8,7,5804,5444,40,0,-12.020,312720,13.020,4071.614
9,7,6327,5901,44,0,-12.299,378621,13.299,5035.281
10,7,7233,6373,48,0,-12.836,451178,13.836,6242.499
11,7,7735,6843,52,0,-13.850,530095,14.850,7871.911
12,7,8392,7315,56,0,-13.334,615531,14.334,8823.021
13,7,9162,7787,60,0,-13.478,707594,14.478,10244.546
14,7,9348,8257,64,0,-15.047,806020,16.047,12934.203
15,7,9978,8728,68,0,-13.523,911203,14.523,13233.401
16,7,10259,9195,72,0,-14.528,1023129,15.528,15887.147
